experiment_id,target,horizon,model,fold,seed,train_samples,validation_samples,training_seconds,prediction_seconds,negative_prediction_count,negative_prediction_percentage,complexity,hyperparameters
LOAD-H1-HIST_GRADIENT_BOOSTING-FULLV1-DET-F02,load,1,hist_gradient_boosting,F02,DET,3479,720,0.8166165999718942,0.01084539998555556,0,0.0,"{""iterations"": 200}","{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": null, ""max_iter"": 200, ""max_leaf_nodes"": 31}"
LOAD-H1-LINEAR_REGRESSION-FULLV1-DET-F03,load,1,linear_regression,F03,DET,4199,744,0.012480099976528436,0.0011314000003039837,0,0.0,"{""coefficient_count"": 12}","{""fit_intercept"": true}"
LOAD-H1-RIDGE-FULLV1-DET-F03,load,1,ridge,F03,DET,4199,744,0.022581600002013147,0.002594500023405999,0,0.0,"{""coefficient_count"": 12}","{""alpha"": 1.0, ""fit_intercept"": true, ""scaling"": ""StandardScaler inside training-fold pipeline"", ""solver"": ""auto""}"
LOAD-H1-RANDOM_FOREST-FULLV1-S42-F03,load,1,random_forest,F03,42,4199,744,0.25380279996898025,0.03901910001877695,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S123-F03,load,1,random_forest,F03,123,4199,744,0.2923859999864362,0.041497599973808974,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2020-F03,load,1,random_forest,F03,2020,4199,744,0.2697895999881439,0.04112890001852065,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2025-F03,load,1,random_forest,F03,2025,4199,744,0.3012130999704823,0.039744900015648454,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S31415-F03,load,1,random_forest,F03,31415,4199,744,0.2625363999977708,0.039750600000843406,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S42-F03,load,1,extra_trees,F03,42,4199,744,0.12285109999356791,0.042018799984361976,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S123-F03,load,1,extra_trees,F03,123,4199,744,0.11774740001419559,0.042571900004986674,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2020-F03,load,1,extra_trees,F03,2020,4199,744,0.10899430001154542,0.03883989999303594,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2025-F03,load,1,extra_trees,F03,2025,4199,744,0.12495239998679608,0.04040009999880567,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S31415-F03,load,1,extra_trees,F03,31415,4199,744,0.1283801999525167,0.039796500001102686,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-HIST_GRADIENT_BOOSTING-FULLV1-DET-F03,load,1,hist_gradient_boosting,F03,DET,4199,744,0.9033215999952517,0.01188979996368289,0,0.0,"{""iterations"": 200}","{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": null, ""max_iter"": 200, ""max_leaf_nodes"": 31}"
LOAD-H1-LINEAR_REGRESSION-FULLV1-DET-F04,load,1,linear_regression,F04,DET,4943,744,0.01613050000742078,0.0011606999905779958,0,0.0,"{""coefficient_count"": 12}","{""fit_intercept"": true}"
LOAD-H1-RIDGE-FULLV1-DET-F04,load,1,ridge,F04,DET,4943,744,0.029951300006359816,0.002792100014630705,0,0.0,"{""coefficient_count"": 12}","{""alpha"": 1.0, ""fit_intercept"": true, ""scaling"": ""StandardScaler inside training-fold pipeline"", ""solver"": ""auto""}"
LOAD-H1-RANDOM_FOREST-FULLV1-S42-F04,load,1,random_forest,F04,42,4943,744,0.25909310003044084,0.040795299981255084,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S123-F04,load,1,random_forest,F04,123,4943,744,0.2847907000104897,0.0386282000108622,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2020-F04,load,1,random_forest,F04,2020,4943,744,0.30640610004775226,0.03871149994665757,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2025-F04,load,1,random_forest,F04,2025,4943,744,0.35278480005217716,0.04186840000329539,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S31415-F04,load,1,random_forest,F04,31415,4943,744,0.30763150000711903,0.04190900002140552,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
