target,horizon,model,dimension,slice,samples,MAE
pv,24,hist_gradient_boosting,target_condition,high_output_q4,1104,103.81723451361007
pv,24,hist_gradient_boosting,hour,9,184,122.61366138275491
pv,24,hist_gradient_boosting,hour,10,184,113.38515886534182
pv,24,hist_gradient_boosting,hour,11,184,113.40187294418021
pv,24,hist_gradient_boosting,hour,12,184,108.30205848743809
pv,24,hist_gradient_boosting,hour,13,184,122.8089290236358
pv,24,hist_gradient_boosting,hour,14,184,126.39704654905846
pv,24,hist_gradient_boosting,hour,15,184,116.57511785874233
pv,24,hist_gradient_boosting,hour,16,184,123.70489028820676
pv,24,hist_gradient_boosting,hour,17,184,68.26085312647977
pv,24,hist_gradient_boosting,hour,18,184,25.59246544392249
pv,24,hist_gradient_boosting,hour,19,184,11.916718533298756
pv,24,hist_gradient_boosting,hour,20,184,10.224785419835522
pv,24,hist_gradient_boosting,hour,21,184,10.285981307988061
pv,24,hist_gradient_boosting,hour,22,184,10.285981307988061
pv,24,hist_gradient_boosting,hour,23,184,10.285981307988061
pv,24,hist_gradient_boosting,month,6,720,64.9535387878193
pv,24,hist_gradient_boosting,month,7,744,86.00478081865829
pv,24,hist_gradient_boosting,month,8,744,34.9518904272348
pv,24,hist_gradient_boosting,month,9,720,32.88627319929931
pv,24,hist_gradient_boosting,month,10,744,50.83214751455192
