target,horizon,baseline,fold,MAE,RMSE,sMAPE,nMAE,nRMSE,external_baseline,samples
pv,1,H1_DAILY_SEASONAL_PERSISTENCE,F03,41.97955869175627,77.00632313234642,10.231302768940205,0.09864053976997353,0.1809439049907712,False,744
pv,1,H1_DAILY_SEASONAL_PERSISTENCE,F04,18.60142249103943,35.85792253954905,3.995357607734343,0.04088078398470023,0.07880580026530569,False,744
pv,1,H1_DAILY_SEASONAL_PERSISTENCE,F05,22.338171296296295,49.07495253428457,5.7073147078964075,0.050489381423471265,0.11092062837091139,False,720
pv,1,H1_DAILY_SEASONAL_PERSISTENCE,F06,44.82340949820789,102.34287201393623,11.157516067343478,0.11627303039494956,0.26547993563181776,False,744
pv,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F01,69.62367831541218,133.84476798934935,16.410063176302618,0.14545008937713239,0.27961368801169695,False,744
pv,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F02,66.42208333333332,132.42918323299912,12.720771518403717,0.14213860335987819,0.2833891712544582,False,720
pv,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F03,68.51437051971325,115.03618364474302,16.03148546615372,0.16099012711612035,0.2703037288008357,False,744
pv,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F04,35.23100358422939,73.57366014914533,9.617274355266963,0.07742800572294298,0.1616945644328993,False,744
pv,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F05,37.43570601851852,73.8708262781681,10.309571133896684,0.08461326645567012,0.16696498001355206,False,720
pv,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F06,67.21214157706093,141.47236318800083,18.55292863436255,0.17434995391887165,0.36698280137885175,False,744
pv,24,H24_DAILY_PERSISTENCE,F01,54.52343189964158,119.12423471316662,10.402357633342156,0.11390432443146782,0.24886117776654568,False,744
pv,24,H24_DAILY_PERSISTENCE,F02,33.35744212962963,75.83063343471647,7.12755339086031,0.07138258841068447,0.1622722412095197,False,720
pv,24,H24_DAILY_PERSISTENCE,F03,41.97955869175627,77.00632313234642,10.231302768940205,0.09864053976997353,0.1809439049907712,False,744
pv,24,H24_DAILY_PERSISTENCE,F04,18.60142249103943,35.85792253954905,3.995357607734343,0.04088078398470023,0.07880580026530569,False,744
pv,24,H24_DAILY_PERSISTENCE,F05,22.338171296296295,49.07495253428457,5.7073147078964075,0.050489381423471265,0.11092062837091139,False,720
pv,24,H24_DAILY_PERSISTENCE,F06,44.82340949820789,102.34287201393623,11.157516067343478,0.11627303039494956,0.26547993563181776,False,744
pv,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F01,69.62367831541218,133.84476798934935,16.410063176302618,0.14545008937713239,0.27961368801169695,False,744
pv,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F02,66.42208333333332,132.42918323299912,12.720771518403717,0.14213860335987819,0.2833891712544582,False,720
pv,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F03,68.51437051971325,115.03618364474302,16.03148546615372,0.16099012711612035,0.2703037288008357,False,744
pv,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F04,35.23100358422939,73.57366014914533,9.617274355266963,0.07742800572294298,0.1616945644328993,False,744
pv,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F05,37.43570601851852,73.8708262781681,10.309571133896684,0.08461326645567012,0.16696498001355206,False,720
pv,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F06,67.21214157706093,141.47236318800083,18.55292863436255,0.17434995391887165,0.36698280137885175,False,744
pv,24,RTS_DAY_AHEAD,F01,49.426668906810036,93.177110359551,19.689169801959796,0.10325673081420692,0.19465531493902066,True,744
pv,24,RTS_DAY_AHEAD,F02,50.79011574074074,93.09807938940186,22.01759147797726,0.10868728822681395,0.19922336542033553,True,720
pv,24,RTS_DAY_AHEAD,F03,53.5876232078853,91.15929985464345,21.757358762609893,0.1259163326853597,0.2141995490886545,True,744
pv,24,RTS_DAY_AHEAD,F04,45.65286738351254,84.93703694016897,18.272954612810363,0.10033238106852196,0.18666812503851274,True,744
pv,24,RTS_DAY_AHEAD,F05,44.29530092592592,80.91260306813979,18.15412768723172,0.10011752144130615,0.18288100776407684,True,720
pv,24,RTS_DAY_AHEAD,F06,53.15042562724015,107.63508579765455,19.258336901277993,0.13787351572859904,0.279208068788566,True,744
