run_id,evidence_status,target,model,framework,implementation_id,feature_set,feature_count,fold,seed,training_seconds,prediction_seconds,epochs,MAE,RMSE,sMAPE,nMAE,nRMSE
P10-load-mlp-E_full-F04-S2025,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F04,2025,0.1515185999996902,0.0,12,721.16254,961.4299246434969,13.170822,0.136337,0.18175995298659559
P10-load-mlp-E_full-F04-S31415,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F04,31415,0.15346760000011272,0.0,12,706.8864,929.8716309254735,12.962329,0.13363807,0.17579380419561424
P10-wind-hist_gradient_boosting-A_calendar_only-F01-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,A_calendar_only,6,F01,42,5.578682899999876,0.0357797999995455,N/A,459.89084766740166,561.8376308332843,88.88809122432832,0.7540636976224154,0.9212215540239685
P10-wind-hist_gradient_boosting-B_lags_only-F01-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,B_lags_only,3,F01,42,0.5640556000007564,0.006335999999464548,N/A,521.4644971831857,618.6079969219238,90.90250229942804,0.8550234233170607,1.014305537724243
P10-wind-hist_gradient_boosting-C_calendar_lags-F01-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,C_calendar_lags,9,F01,42,0.5691374999996697,0.006096400000387803,N/A,469.1686027807298,575.8144908698624,90.84437866426347,0.7692760428166627,0.9441388240974868
P10-wind-hist_gradient_boosting-D_calendar_lags_rolling-F01-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,D_calendar_lags_rolling,11,F01,42,0.6801643999997395,0.0072624000003997935,N/A,478.61406875271075,586.2366253255891,91.2321900445257,0.7847633764583831,0.961227560010942
P10-wind-hist_gradient_boosting-E_full-F01-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,E_full,12,F01,42,0.678023999999823,0.006435899999814865,N/A,479.2184699567289,587.0480158167518,91.0766179526914,0.7857543877147736,0.9625579629034655
P10-wind-mlp-A_calendar_only-F01-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,42,0.1071072999993703,0.0,12,510.42813,601.3485626074116,91.80077,0.83692753,0.9860059685458523
P10-wind-mlp-A_calendar_only-F01-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,123,0.09956789999978355,0.0,12,539.7473,623.4015309172732,93.443405,0.88500094,1.0221652939849852
P10-wind-mlp-A_calendar_only-F01-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,2020,0.09774019999986194,0.0,12,498.5933,604.6281656935938,92.092026,0.81752247,0.9913833959124629
P10-wind-mlp-A_calendar_only-F01-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,2025,0.0970538999999917,0.0,12,544.4407,627.2501245516019,93.64286,0.8926965,1.0284756712435619
P10-wind-mlp-A_calendar_only-F01-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,31415,0.10051360000034038,0.0,12,510.18826,589.7099127961137,91.10499,0.83653426,0.9669225635236528
