target,horizon,model,fold,seed_summary,samples,MAE,RMSE,sMAPE,nMAE,nRMSE
load,24,linear_regression,F06,deterministic,744,183.8907949239529,237.01840132798668,4.717193114372858,0.04755544774537846,0.06129461892699681
load,24,random_forest,F01,mean_prediction_across_predefined_seeds,744,403.0579502411669,610.4001344252982,8.997365731698673,0.0969896856995279,0.14688338774470483
load,24,random_forest,F02,mean_prediction_across_predefined_seeds,720,618.5723281761456,801.3327090063999,12.57626139534379,0.13040220457122864,0.16893020765667535
load,24,random_forest,F03,mean_prediction_across_predefined_seeds,744,304.88739994746834,423.97742426921525,5.281499188376673,0.05609401592718502,0.0780045236169876
load,24,random_forest,F04,mean_prediction_across_predefined_seeds,744,258.5961763534752,348.65802054857517,4.659130693245687,0.04888804441358508,0.06591438834900754
load,24,random_forest,F05,mean_prediction_across_predefined_seeds,720,236.46662869453496,310.69659305950375,4.995426344421916,0.050720363967712054,0.06664214891760899
load,24,random_forest,F06,mean_prediction_across_predefined_seeds,744,124.28899356126524,170.97280911427737,3.144240571760576,0.032142004394905874,0.04421476612288825
load,24,ridge,F01,deterministic,744,305.745320260696,387.17287320062576,7.252105320503957,0.07357290061749944,0.0931671866555244
load,24,ridge,F02,deterministic,720,256.2587508199377,322.1056008978202,5.687079929372752,0.05402230996352173,0.06790358790484913
load,24,ridge,F03,deterministic,744,209.1908183434214,273.65698384179825,3.8902959302769955,0.038487497672906656,0.05034815873943009
load,24,ridge,F04,deterministic,744,270.0204236979745,328.4567465636077,5.131867487411761,0.05104781769192713,0.062095303342746114
load,24,ridge,F05,deterministic,720,337.62743950731834,399.6552649127103,7.550392699444677,0.07241861869405355,0.08572313399947216
load,24,ridge,F06,deterministic,744,183.89720354410167,236.95511424688664,4.717269151166872,0.04755710505944212,0.06127825244449041
pv,1,extra_trees,F01,mean_prediction_across_predefined_seeds,744,30.496846224738444,56.844905935831086,93.06927898713242,0.06371063862805063,0.11875409126683639
pv,1,extra_trees,F02,mean_prediction_across_predefined_seeds,720,21.179771951797193,36.39780504684371,81.68107870678108,0.04532322766212304,0.07788875197967782
pv,1,extra_trees,F03,mean_prediction_across_predefined_seeds,744,23.988403355481317,42.56925407838702,87.34384595407538,0.05636622034497921,0.10002616346516838
pv,1,extra_trees,F04,mean_prediction_across_predefined_seeds,744,17.45824631712788,30.000692722811536,92.73980281180589,0.03836839880315583,0.06593322844978258
pv,1,extra_trees,F05,mean_prediction_across_predefined_seeds,720,23.398645818965427,41.87032646836424,100.89632687955442,0.05288629663889863,0.09463652397262315
pv,1,extra_trees,F06,mean_prediction_across_predefined_seeds,744,31.13564007165423,58.91387267708323,114.07633322144662,0.08076661871432168,0.15282403960681673
pv,1,hist_gradient_boosting,F01,deterministic,744,31.845881969264134,55.9026337384923,94.11617322215353,0.06652889492191225,0.11678560039366494
pv,1,hist_gradient_boosting,F02,deterministic,720,26.522277919224216,45.08722446303019,86.96957778134774,0.056755816020441,0.09648350056090953
pv,1,hist_gradient_boosting,F03,deterministic,744,27.838443578083012,47.000240671564455,89.93509563781934,0.0654127672246661,0.11043777623303601
pv,1,hist_gradient_boosting,F04,deterministic,744,19.128287486682293,30.886282396355373,92.12395183870613,0.04203868758515613,0.067879509717286
pv,1,hist_gradient_boosting,F05,deterministic,720,22.576374830892068,38.412692491000655,98.14755103601175,0.05102777594803196,0.08682147956319969
pv,1,hist_gradient_boosting,F06,deterministic,744,27.273731491748897,54.07895886729095,113.35625723364952,0.07074873255347973,0.1402821538677273
pv,1,linear_regression,F01,deterministic,744,57.909478285013236,78.13366218196059,95.671963820236,0.12097807809263285,0.1632282065915086
pv,1,linear_regression,F02,deterministic,720,50.59772971469812,70.78997588291294,92.47935419387647,0.10827559561382522,0.15148558730658163
pv,1,linear_regression,F03,deterministic,744,49.42351267901828,64.99291828364221,92.62588013244142,0.11613180604835308,0.15271567259193689
pv,1,linear_regression,F04,deterministic,744,57.9948583164156,80.39674385513261,98.34210061674479,0.12745666500498906,0.17668981607176512
pv,1,linear_regression,F05,deterministic,720,65.36962107858433,93.63056414561896,107.43210610216485,0.14775030992316077,0.21162651155901696
pv,1,linear_regression,F06,deterministic,744,72.2831678563806,95.94861871061435,115.64840702147502,0.18750432123072233,0.24889308476497607
pv,1,random_forest,F01,mean_prediction_across_predefined_seeds,744,31.514113593919788,57.16636942483116,94.40561283420804,0.06583580112086757,0.11942565723890017
pv,1,random_forest,F02,mean_prediction_across_predefined_seeds,720,25.424565301158488,43.62667649065839,84.62639578998184,0.05440678794736222,0.09335803025773934
pv,1,random_forest,F03,mean_prediction_across_predefined_seeds,744,29.69635303221374,52.15335272714611,88.4582371930818,0.06977834888179725,0.12254618733830927
pv,1,random_forest,F04,mean_prediction_across_predefined_seeds,744,17.92532983952835,30.73612331210104,91.65385601021491,0.039394919252936735,0.0675495015638935
pv,1,random_forest,F05,mean_prediction_across_predefined_seeds,720,22.9898514715789,41.81353855779032,98.01866482892599,0.05196232782089697,0.09450817029321143
pv,1,random_forest,F06,mean_prediction_across_predefined_seeds,744,27.97450035881618,58.545873258668884,112.16589958210301,0.07256654428829669,0.15186944003392333
pv,1,ridge,F01,deterministic,744,57.9416553611039,78.13965869887794,95.67777715722333,0.12104529888168797,0.16324073385152535
pv,1,ridge,F02,deterministic,720,50.62193439282838,70.82267756806317,92.48345407177369,0.10832739192871864,0.15155556662101297
pv,1,ridge,F03,deterministic,744,49.39912753740895,64.95008726485509,92.62476490983613,0.11607450760106892,0.1526150313526356
pv,1,ridge,F04,deterministic,744,57.997715487469314,80.39229266784673,98.3420774756208,0.12746294427705604,0.17668003359271026
pv,1,ridge,F05,deterministic,720,65.3724938544927,93.62814357442544,107.43371818067038,0.1477568030544318,0.2116210405139331
pv,1,ridge,F06,deterministic,744,72.28943451366406,95.94736825668122,115.65058722180272,0.18752057709436484,0.24888984105661469
pv,24,extra_trees,F01,mean_prediction_across_predefined_seeds,744,65.83613754665198,106.95571698711582,91.44015406030377,0.13753757804959235,0.22344005619317553
pv,24,extra_trees,F02,mean_prediction_across_predefined_seeds,720,50.15905864244487,98.34144874008166,86.74866915140335,0.10733687026202395,0.21044380836647847
pv,24,extra_trees,F03,mean_prediction_across_predefined_seeds,744,43.30859483285565,71.68708312096679,90.55372038120129,0.10176341305443208,0.16844513839483832
pv,24,extra_trees,F04,mean_prediction_across_predefined_seeds,744,30.41225414883812,49.20533359554279,92.41838286137593,0.06683772668167494,0.10813971966840125
pv,24,extra_trees,F05,mean_prediction_across_predefined_seeds,720,31.02354748068755,56.73074779867649,98.15155364898406,0.07012032010522319,0.12822447845231788
pv,24,extra_trees,F06,mean_prediction_across_predefined_seeds,744,46.6990479854046,94.4231898785809,112.9401938681062,0.12113848291793267,0.24493608472999548
pv,24,hist_gradient_boosting,F01,deterministic,744,100.5368298653235,135.35973856788567,102.74778948127863,0.21003042705326055,0.2827785970108105
pv,24,hist_gradient_boosting,F02,deterministic,720,64.9535387878193,123.44626214085082,89.02400793197351,0.13899602095059718,0.2641663496557688
pv,24,hist_gradient_boosting,F03,deterministic,744,86.00478081865829,133.49012532915728,96.34849191080181,0.20208783196228972,0.31366547021408453
pv,24,hist_gradient_boosting,F04,deterministic,744,34.9518904272348,48.51042185263689,93.30676927607166,0.0768145921690129,0.10661249577658047
pv,24,hist_gradient_boosting,F05,deterministic,720,32.88627319929931,61.329136467898635,99.1376171662462,0.07433050669779767,0.13861788963957203
pv,24,hist_gradient_boosting,F06,deterministic,744,50.83214751455192,102.20220310270543,113.6446247651127,0.1318598450935858,0.26511503700464356
pv,24,linear_regression,F01,deterministic,744,60.37395976732805,100.0908861434268,94.37472011981143,0.12612660026991673,0.20909881074432032
pv,24,linear_regression,F02,deterministic,720,58.37535468951239,98.4488180848137,90.30815650465382,0.12491916799063778,0.21067357123957728
pv,24,linear_regression,F03,deterministic,744,46.32651807374054,71.81286115200773,91.09419103935264,0.10885471145637769,0.16874068254203106
pv,24,linear_regression,F04,deterministic,744,39.881405298690524,50.23139675411718,91.25781871007047,0.08764830301593468,0.11039472281993683
pv,24,linear_regression,F05,deterministic,720,35.62090030906483,51.69087923318716,99.07182684072569,0.08051139005501359,0.11683322162327997
pv,24,linear_regression,F06,deterministic,744,55.37350332144834,93.57771134652494,114.1860972408211,0.14364023412870952,0.24274289255303821
pv,24,random_forest,F01,mean_prediction_across_predefined_seeds,744,96.09914247126706,149.1511555185097,95.15145043966122,0.20075970129284923,0.3115901001752665
pv,24,random_forest,F02,mean_prediction_across_predefined_seeds,720,51.71531052869212,101.41781503746657,86.42371781594414,0.11066714023379327,0.2170270166458588
pv,24,random_forest,F03,mean_prediction_across_predefined_seeds,744,50.62812675271097,84.54852265173989,91.26083828139987,0.11896232133118494,0.1986660215358387
pv,24,random_forest,F04,mean_prediction_across_predefined_seeds,744,29.926219485151403,48.72613861491038,92.05050729362362,0.06576955686268264,0.10708658158182627
pv,24,random_forest,F05,mean_prediction_across_predefined_seeds,720,29.16135376613463,54.40077159912052,97.35538305600797,0.0659113359636233,0.12295819879644936
pv,24,random_forest,F06,mean_prediction_across_predefined_seeds,744,43.775491670722545,92.39593287624226,111.23769509815654,0.11355470568983127,0.23967733003707725
pv,24,ridge,F01,deterministic,744,60.38471283816211,100.06711023034694,94.37883805635725,0.12614906439637105,0.20904914073598177
pv,24,ridge,F02,deterministic,720,58.40089079080628,98.46659124180059,90.31528664787659,0.12497381345779296,0.21071160454995594
pv,24,ridge,F03,deterministic,744,46.34668178658773,71.82599771314123,91.1004616088077,0.10890209069477365,0.16877154988607448
pv,24,ridge,F04,deterministic,744,39.91183099905376,50.266512578030934,91.26384497497517,0.08771517029367819,0.11047189769258726
pv,24,ridge,F05,deterministic,720,35.65734301374959,51.71867051547469,99.0880236659107,0.08059375891110866,0.11689603628402595
pv,24,ridge,F06,deterministic,744,55.417955542982114,93.60304508143463,114.19291678443014,0.1437555442883645,0.24280860888658243
wind,1,extra_trees,F01,mean_prediction_across_predefined_seeds,744,87.80970531276147,135.69157891707826,24.115928968461528,0.14397788390684038,0.22248777998825256
wind,1,extra_trees,F02,mean_prediction_across_predefined_seeds,720,75.2125389285111,131.4317297743063,28.711725044553233,0.1482805904127049,0.25911602995374405
wind,1,extra_trees,F03,mean_prediction_across_predefined_seeds,744,63.3156738185514,114.49551434075185,30.65313897695651,0.2011410264875132,0.36372897726260844
wind,1,extra_trees,F04,mean_prediction_across_predefined_seeds,744,61.69202568030337,111.15316956572923,24.02521217167411,0.14811178501257513,0.26685935779608916
wind,1,extra_trees,F05,mean_prediction_across_predefined_seeds,720,66.5584721724426,116.28987679524288,23.80842306038173,0.11859387768816253,0.2072052884461576
wind,1,extra_trees,F06,mean_prediction_across_predefined_seeds,744,77.28908853617278,121.23137496114128,19.31072577611132,0.1096675109263038,0.17201837141525367
wind,1,hist_gradient_boosting,F01,deterministic,744,92.64673094841348,138.87833125200862,27.159802313574012,0.15190895158260337,0.22771296387976225
wind,1,hist_gradient_boosting,F02,deterministic,720,90.26888245529798,139.45592456175746,40.4170618125337,0.17796398548770032,0.2749356307493073
wind,1,hist_gradient_boosting,F03,deterministic,744,70.26310026885432,116.39037455535954,38.69142713466285,0.22321158822022255,0.36974856302440234
wind,1,hist_gradient_boosting,F04,deterministic,744,67.65221060739562,113.5275636156763,31.410411429673932,0.16242114864299528,0.2725598634478784
wind,1,hist_gradient_boosting,F05,deterministic,720,71.7437210029832,123.37060416853625,29.37836259116023,0.12783295342894288,0.21982172762577049
wind,1,hist_gradient_boosting,F06,deterministic,744,84.14685165928046,125.3011712316716,25.129434819913488,0.11939817053786629,0.17779311187887456
wind,1,linear_regression,F01,deterministic,744,83.4945650426086,137.87742426902707,26.437176933646676,0.13690252973448663,0.22607181875936838
wind,1,linear_regression,F02,deterministic,720,73.46746662286151,128.07625310459852,30.341660108605087,0.14484020194183395,0.25250074919353405
wind,1,linear_regression,F03,deterministic,744,63.488835683059634,110.60448124091658,35.76244964392713,0.20169112653502264,0.35136795597677883
wind,1,linear_regression,F04,deterministic,744,63.31498200275573,117.31983862337053,29.047240970695363,0.15200821984779259,0.28166445378113925
wind,1,linear_regression,F05,deterministic,720,69.15104200861683,117.1107533197395,29.952936930159478,0.12321331830952591,0.20866792613848648
wind,1,linear_regression,F06,deterministic,744,76.31418429190215,115.91953507330206,22.543129752152034,0.1082841937739659,0.16448126274996328
wind,1,random_forest,F01,mean_prediction_across_predefined_seeds,744,89.70807331436657,137.721410615791,23.69664128575906,0.14709055814682373,0.22581600972808308
wind,1,random_forest,F02,mean_prediction_across_predefined_seeds,720,79.53255210633753,137.75041161798774,28.68975017719268,0.15679744297112777,0.271573233071188
wind,1,random_forest,F03,mean_prediction_across_predefined_seeds,744,64.925171301255,117.11907063703201,29.483876814203757,0.20625407285148029,0.3720634823646761
wind,1,random_forest,F04,mean_prediction_across_predefined_seeds,744,66.80030670106963,115.81499339983844,25.86236004077972,0.16037587606791412,0.27805158307755745
wind,1,random_forest,F05,mean_prediction_across_predefined_seeds,720,69.30332579906859,120.38455014502613,22.773628654011407,0.12348465754898344,0.2145011769268765
wind,1,random_forest,F06,mean_prediction_across_predefined_seeds,744,80.67908282097679,124.29225406570313,18.976307161447227,0.11447766255714951,0.17636153290158077
wind,1,ridge,F01,deterministic,744,83.51211287672004,137.87199578591904,26.411207666419156,0.13693130218069305,0.22606291790372907
wind,1,ridge,F02,deterministic,720,73.5325083529269,128.08074479984987,30.40121518606497,0.14496843090834613,0.2525096045151774
wind,1,ridge,F03,deterministic,744,63.51863988933026,110.59796770948017,35.782149498221166,0.2017858084404873,0.3513472638113139
wind,1,ridge,F04,deterministic,744,63.338247903367765,117.32802739765485,29.051063699522974,0.15206407721398496,0.2816841135988052
wind,1,ridge,F05,deterministic,720,69.18598125217804,117.11705326142618,29.992060903171442,0.12327557304948869,0.20867915137382384
wind,1,ridge,F06,deterministic,744,76.34102927652651,115.93327726559991,22.56082504864072,0.10832228482537261,0.1645007619063451
wind,24,extra_trees,F01,mean_prediction_across_predefined_seeds,744,492.135548237992,606.0507345762817,92.21173833467579,0.8069339781777083,0.9937159223309447
wind,24,extra_trees,F02,mean_prediction_across_predefined_seeds,720,788.0393765776956,858.1766572286832,119.42835166601338,1.553609885958862,1.6918846674385184
wind,24,extra_trees,F03,mean_prediction_across_predefined_seeds,744,332.3024185671595,430.3453222553207,107.58994274136833,1.0556572416243923,1.3671196189208505
wind,24,extra_trees,F04,mean_prediction_across_predefined_seeds,744,430.656748806347,525.767865865413,107.65872645629761,1.033931680635107,1.2622768705816885
wind,24,extra_trees,F05,mean_prediction_across_predefined_seeds,720,545.8860489345057,651.9342336749794,109.69594550144294,0.9726596961433414,1.1616163389217278
wind,24,extra_trees,F06,mean_prediction_across_predefined_seeds,744,531.4127628705929,646.4134639054414,87.58224198140145,0.7540354800692529,0.9172129851496661
wind,24,hist_gradient_boosting,F01,deterministic,744,472.85693633579166,632.3979548262001,98.16969982379025,0.7753236483576328,1.0369163522253315
wind,24,hist_gradient_boosting,F02,deterministic,720,1298.6619373984877,1451.6869497675661,129.7377175792826,2.56029595021367,2.8619828697785805
wind,24,hist_gradient_boosting,F03,deterministic,744,306.412666396273,416.0895194851161,105.74692263399916,0.9734107612018204,1.3218318310846207
wind,24,hist_gradient_boosting,F04,deterministic,744,546.3281634770904,610.5943984449054,113.06417366329708,1.311638556246479,1.4659305684175057
wind,24,hist_gradient_boosting,F05,deterministic,720,501.2001585197087,695.2344864607642,113.56502611854587,0.8930383819925454,1.238768724112294
wind,24,hist_gradient_boosting,F06,deterministic,744,526.202960411016,657.6951791280537,87.45094264047265,0.7466431549819653,0.9332209062013451
wind,24,linear_regression,F01,deterministic,744,498.2425423376032,639.0111344857665,96.75507351821783,0.8169473597778604,1.0477597050174716
wind,24,linear_regression,F02,deterministic,720,529.0715995628162,616.3148694777157,108.0767375102276,1.043058115992277,1.2150571437715716
wind,24,linear_regression,F03,deterministic,744,442.67712171755267,506.22359709727147,115.88351178035253,1.4062952393111485,1.6081694754468945
wind,24,linear_regression,F04,deterministic,744,403.1186203425696,505.4421505410926,102.77786733022388,0.967817441109043,1.2134783760413526
wind,24,linear_regression,F05,deterministic,720,524.7078932714697,608.0618779067526,109.05212642959705,0.9349244609375845,1.0834445807060569
wind,24,linear_regression,F06,deterministic,744,537.1883235963096,661.7339297570786,89.07456735826331,0.7622305743702631,0.9389515951915499
wind,24,random_forest,F01,mean_prediction_across_predefined_seeds,744,491.092363178892,634.5538051317428,95.41379156567349,0.8052235114724907,1.0404512093792917
wind,24,random_forest,F02,mean_prediction_across_predefined_seeds,720,1109.559922706447,1224.7775293061673,126.78932209247955,2.187483666700415,2.4146337533207323
wind,24,random_forest,F03,mean_prediction_across_predefined_seeds,744,364.3266254930784,459.82606281274906,107.0836441208692,1.1573916379444475,1.4607739395607389
wind,24,random_forest,F04,mean_prediction_across_predefined_seeds,744,521.8819236888961,590.8896955359558,112.82282843532094,1.2529474017261484,1.4186230162857103
wind,24,random_forest,F05,mean_prediction_across_predefined_seeds,720,520.0678023304044,719.3132650212253,110.08886266767752,0.9266567474585109,1.2816722888467922
wind,24,random_forest,F06,mean_prediction_across_predefined_seeds,744,561.4547527606185,705.3945827474744,87.81463564525146,0.7966628459356564,1.0009028386278447
wind,24,ridge,F01,deterministic,744,498.2263166005977,638.9411924525826,96.72741281305878,0.8169207551187221,1.0476450240047284
wind,24,ridge,F02,deterministic,720,529.1118881334837,616.3175544968198,108.08136535870554,1.043137544411136,1.2150624372535321
wind,24,ridge,F03,deterministic,744,442.62076530031896,506.15552240602875,115.88091630586699,1.4061162064283266,1.607953215989345
wind,24,ridge,F04,deterministic,744,403.09024403154433,505.42255944445475,102.77501262523546,0.9677493145394955,1.213431341238047
wind,24,ridge,F05,deterministic,720,524.6983142056362,608.0653807787745,109.05286396929115,0.9349073929592377,1.083450822123003
wind,24,ridge,F06,deterministic,744,537.1763451027991,661.7283550497732,89.07453109137323,0.7622135777722592,0.9389436850934247
